Time_s,Inference_Only
2.033,-0.13423075134733775
2.037,1.0637129167725492
2.043,1.417943062443877
2.045,1.4278074146075523
2.053,1.2541083533038302
2.084,0.15419524403199114
2.086,0.27174308277585
2.089,0.48884226456480695
2.094,-0.7705206897448482
2.098,1.5856974363300935
2.103,1.5909763597184159
2.107,1.593286116552326
2.11,1.1747231843553916
2.118,0.12325192503878846
2.125,1.5336425223941075
2.127,-0.11176325212917426
2.132,0.6178718917951977
2.135,1.1247498193485859
2.139,0.6215577602800804
2.143,0.3086667683950721
2.147,0.24611056218522576
2.15,0.5792875767070216
2.177,-0.36215705339388116
2.18,-0.6439970234625285
2.183,-0.7581709702734409
2.188,0.2599194334372843
2.191,1.9945283872997805
2.196,1.606862647527647
2.2,0.8827547883440161
2.204,0.11578705676544443
2.207,-0.5663943378615541
2.212,1.0394074249616496
2.216,-0.393469639829656
2.221,1.4668577414536697
2.224,1.6367703325663716
2.229,2.1820163974171045
2.232,0.9656682322785564
2.236,-0.10362587805404244
2.24,-0.8078139871091872
2.244,-0.8095447647875709
2.247,0.5488764182525654
2.253,1.9806861424008098
2.256,1.7108527955519115
2.261,1.1201010256910218
2.264,0.39502599692916096
2.269,-0.4765775533322145
2.274,-0.9063466068502226
2.278,-0.4197840680796481
2.283,1.4185020817555043
2.286,1.6790392562186018
2.291,1.2861764941973588
2.294,0.814945038222088
2.299,0.03308246081299471
2.304,-0.8532967751961511
2.307,-0.6796127766802003
2.312,0.12130866673955287
2.317,1.6567300111882535
2.32,1.962813263659684
2.325,1.0603315734635421
2.329,0.0651704319031956
2.332,-0.5647208348676185
2.336,-0.9610307676144441
2.341,-0.5969319338487962
2.344,1.740152127677837
2.349,1.7580814052985438
2.352,1.0518165838259521
2.357,0.891989798472618
2.362,-0.13708662316929932
2.365,-0.602047961911639
2.369,-0.6690283592852952
2.374,0.4952937482981463
2.377,1.8818260284075512
2.382,1.5583829346803229
2.386,0.8763429504348355
2.389,0.3799552730435449
2.394,-0.6044865086446136
2.399,-0.8502671375138542
2.403,-0.33217314008704957
2.408,1.4971898330427855
2.412,1.5790349556799566
2.417,1.486209913488092
2.42,1.4476066258034295
2.425,-0.23344400577055913
2.428,-0.8657784944167362
2.433,-0.5228314936649938
2.438,0.24726188072954303
2.441,1.7672424156066988
2.446,1.861295968807784
